Latitude,Longitude,0. of Houses ,0.of Population,"Is there a Lake / Tank in 1  radius
(1 / 0)","Is there a River / Canal passing through the Village 
(1 / 0)",How many open wells with in 1 ,Distance of Paddy Agriculture (),N0.of Houses with mats /repellants/ nets,N0.of Houses with Toilets ,N0.of Toilets with open went pipes,0.of Houses with Kitchen garden ,0. of Houses with storage units( Agriculture Products / Timber),0.of Houses with open Drainage infrant/ Back of the House ,0.of Houses with 0 concrete roof,0.of Health Centers with in 3 ,Distanc of Dumping Yard from the Village site,Malaria cases reported in last week,Positive,Negative,Total,index
17.30157928,81.31021593,69,200,1,1,0,1,0,18,0,0,1,0,66,0,0,39,4,84,80,0.675227554
17.330499,81.491507,88,299,0,1,0,0.5,0,81,0,0,0,0,72,1,0,82,1.5,154,152.5,0.985043374
17.317557,81.29968709,88,330,1,1,0,5,0,66,24,8,5,20,30,0,0,41,40,120,80,0.675227554
17.25867444,81.37499574,30,129,1,1,1,0.5,0,21,18,0,0,1,3,1,0,12,4.5,43,38.5,0.497884706
17.2273739,81.505599,29,93,0,1,2,1,0,19,18,0,3,0,4,2,0,36,7,43,36,0.487201402
17.26781058,84.52598151,77,245,1,1,1,0.5,0,4,4,0,13,10,27,0,0,30,26.5,35,8.5,0.369685056
17.25323991,81.55311913,32,107,1,0,0,0.01,0,27,25,0,0,0,5,0,0,20,1.01,57,55.99,0.572625101
17.26800263,81.57811045,23,77,0,0,1,1,0,20,17,0,2,8,1,1,0,53,12,39,27,0.448741507
17.23026196,81.0872169,58,307,1,0,0,0.01,0,43,12,10,6,10,13,2,0,52,27.01,70,42.99,0.51707192
17.22117559,81.1578894,72,272,0,0,0,5,0,60,52,5,17,0,8,1,0,15,27,121,94,0.735054058
17.22301607,81.19685376,17,62,1,0,0,1,0,16,1,0,0,0,3,1,0,5,2,21,19,0.414554934
17.313801,81.237094,27,86,1,0,0,0.5,0,17,5,6,6,6,4,1,0.01,80,19.51,27,7.49,0.365369001
17.4589307,81.2538235,65,218,1,1,0,0.01,0,0,0,0,26,1,40,0,0,71,29.01,40,10.99,0.380325627
17.4802879,81.3704833,118,338,1,1,1,0.01,6,4,4,21,39,0,61,1,0.01,59,63.02,76,12.98,0.388829537
17.4652717,81.4767543,70,230,0,1,0,0.01,17,0,0,3,0,4,4,1,0.01,78,8.02,22,13.98,0.393102859
17.4630283,81.4076236,62,191,1,1,0,0.5,0,0,0,10,0,5,56,0,0.01,14,17.51,56,38.49,0.497841973
17.555403,81.111015,125,468,1,0,0,1,0,1,1,0,10,31,20,1,1,63,44,23,-21,0.243622067
17.499184,81.142256,71,217,1,0,0,1,0,27,12,0,0,0,71,0,0,12,2,110,108,0.794880561
17.589763,80.970973,50,187,1,1,0,0.5,0,0,0,0,10,0,32,1,0,25,12.5,33,20.5,0.420964916
17.577835,81.036755,35,135,1,1,0,1,0,0,0,0,5,4,12,2,0,13,12,14,2,0.341908465
17.18178292,81.24334661,85,287,1,1,0,1,16,47,24,11,29,13,16,0,0,51,56,103,47,0.53420794
17.21569846,81.36412061,64,229,0,0,0,0.02,0,48,47,22,11,14,0,1,0,57,47.02,96,48.98,0.542669117
17.19348399,81.42447634,116,336,0,0,0,5,0,91,3,1,3,0,70,1,0,66,9,165,156,1
17.26781058,81.56411853,158,575,1,0,5,0.01,0,80,80,60,36,158,20,2,0,8,260.01,182,-78.01,0
17.208003,81.514399,127,608,0,1,4,0.01,0,64,64,4,0,19,17,2,0,46,28.01,147,118.99,0.841844366
17.24149941,81.58542694,20,66,1,1,3,0.01,0,14,14,0,1,3,10,3,0.01,49,9.02,41,31.98,0.470022649
17.18716167,4003/81.18270161051059,40,140,0,0,0,2,0,33,7,1,2,0,6,1,0,47,5,47,42,0.512841332
17.18413004,81.2081076,155,566,0,0,0,1,0,144,58,120,8,0,47,1,0.01,41,129.01,250,120.99,0.850391009
17.18489341,81.22332213,59,201,1,1,2,0.01,2,49,45,48,3,32,1,1,0.01,24,87.02,98,10.98,0.380282894
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,0te Colour Indication,,,,Moderate Villages,,,,,,,,,,,,,,
,,,,,,,Severe Villages,,,,,,,,,,,,,,
,,,,,,,Low previlance Villages,,,,,,,,,,,,,,
